District,Letter,Path,Comment,,,,
KPD,,\\KPDKSLENFSV01\KPSymbols,,,,,
KPD,,\\KPDKSLENFSV01\Oracle,,,,,
KPD,,\\KPDKSLENFSV01\PROJECT_BACKUPS,,,,,
KPD,,\\KPDKSLENFSV01\SP3D,,,,,
KBG,,\\KBGAKTLCFSV01\Share,,,,,
KBG,,\\KBGAKTLCFSV01\Users,,,,,
TUS,,\\TUSCAVENFSV01\Data,,,,,
TUS,,\\TUSCAVENFSV01\Users,,,,,
ECD,,\\ECDONYH3FSV01\10_FINANCIAL,,,,,
ECD,,\\ECDONYH3FSV01\Accounting,,,,,
ECD,,\\ECDONYH3FSV01\Images,,,,,
ECD,,\\ECDONYH3FSV01\Project ,,,,,
ECD,,\\ECDONYH3FSV01\Scans ,,,,,
ECD,,\\ECDONYH3FSV01\Software,,,,,
ECD,,\\ECDONYH3FSV01\Transfers,,,,,
ECD,,\\ECDONYH3FSV01\Users,,,,,
